Lien KBR,_ - filename,Title,IDN,Date,Page,article_number,Categories_test,_ - text,_ - cleaned_text,_ - people,_ - locations,_ - organisations,Commentaire
https://uurl.kbr.be/2045364,BE-KBR00_12126493_19370801_00_00_00_0_01_0001_27605870_article1.txt,Le Radio,12126493,1937-01-08T00:00:00Z,1,1,Radio,"A Radio-Schaerbeek-Bruxelles
HISTOIRES DE CHAPEAUX
Travailler du chapeau est une de ces expressions amusantes, populaires qui a des analogies avec... perdre la boule. « Slache » dirait, en savoureux langage, devenir un peu djoum-djoum ! Des histoires de chapeaux, il y en eut en tous temps : on a chanté la casquette du Père Bugeaud, le chapeau de Napoléon, celui de Maurice Chevalier. Ce
que Marcel Antoine vous racontera, le jeudi 5 août, à 16 heures, à ce sujet, sera plaisant, drôle, amusant, plein d'esprit, et vous ne perdrez pas cette occasion de vous distraire un brin.","A Radio-Schaerbeek-Bruxelles HISTOIRES DE CHAPEAUX Travailler du chapeau est une de ces expressions amusantes , populaires qui a des analogies avec ... perdre la boule . « Slache » dirait , en savoureux langage , devenir un peu djoum-djoum ! Des histoires de chapeaux , il y en eut en tous temps : on a chanté la casquette du Père Bugeaud , le chapeau de Napoléon , celui de Maurice Chevalier . Ce que Marcel Antoine vous racontera , le jeudi 5 août , à 16 heures , à ce sujet , sera plaisant , drôle , amusant , plein d'esprit , et vous ne perdrez pas cette occasion de vous distraire un brin .",Marcel Antoine:Q124834677|Maurice Chevalier:Q106001|None|None,Bruxelles,"Radio-Schaerbeek","A Radio-Schaerbeek-Bruxelles ....Histoires de chapeaux - ""Ce que MA vous racontera, le jeudi 5 août à 16 heures à ce sujet, sera plaisant, drôle, amusant, plein d'esprit, et vous ne perdrez pas cette occasion de vous distraire un brin."""
https://uurl.kbr.be/2045411/p3,BE-KBR00_12126493_19380102_00_00_00_0_01_0003_27607958_article1.txt,Le Radio,12126493,1938-02-01T00:00:00Z,3,1,MA-auth/art,"voici, pour 1938, la perfection des perfections

pour la jeunesse, ce poste ne joue que du jazz...

pour les connaisseurs, rienque des sonates..

pour les dames exclusivement du Tinno Rossi...

il y a même un dispositif spécial pour les sourds-muets...

... et la télévision... enfin!... tout est prévu...

""dites moi... et les parasites... vous y avez songé?""

.. Oh! Zut! J'ai pensé a tout sauf a ça!

Marcel Antoine","voici , pour 1938 , la perfection des perfections pour la jeunesse , ce poste ne joue que du jazz ... pour les connaisseurs , rienque des sonates .. pour les dames exclusivement du Tinno Rossi ... il y a même un dispositif spécial pour les sourds-muets ... ... et la télévision ... enfin !... tout est prévu ... ""dites moi ... et les parasites ... vous y avez songé ?"" .. Oh ! Zut ! J'ai pensé a tout sauf a ça ! Marcel Antoine",Marcel Antoine:Q124834677,,,Cartoons MA : Radio 1938 (8 dessins en 2 bandes)
https://uurl.kbr.be/2045541/p4,BE-KBR00_12126493_19390402_00_00_00_0_01_0004_27614264_article1.txt,Le Radio,12126493,1939-02-04T00:00:00Z,4,1,MA-subj,"Sélection
Vendredi 7 avril: 
Quelques jolies mélodies pour vous, par Lise COLINY.
Samedi 8 avril:
16 heures:
« Y A D'LA JOIE AU DEHORS », fantaisie musicale par Marcel ANTOINE","Sélection Vendredi 7 avril: Quelques jolies mélodies pour vous , par Lise COLINY . Samedi 8 avril: 16 heures: « Y A D'LA JOIE AU DEHORS », fantaisie musicale par Marcel ANTOINE",Lise Coliny:Q95709380|Marcel Antoine:Q124834677,,,"Armand Varlez : ""Humour Bruxellois ..."" : MA dans la tradition ""Kaekebroeck"" et ""Beulemans"""
https://uurl.kbr.be/2045489/p4,BE-KBR00_12126493_19381002_00_00_00_0_01_0004_27611790_article1.txt,Le Radio,12126493,1938-02-10T00:00:00Z,4,1,MA-auth/art,"GAI! MARIONS-NOUS!
UNE FANTAISIE DE LISE COLINY
« Mariez-vous donc !
Mariez-vous donc !
C'est si gentil, c’est si bon !... »
Ainsi chantait jadis Lejal, le créateur de
maints succès...
C'est pour s'efforcer de vous prouver toutes les Joies de la vie conjugale que Lise Coliny a choisi ce thème, pour sa prochaine fantasie...
Le passage devant monsieur le maire, et devant monsieur le curé est une cérémonie qui compte dans la vie d'un homme... et d’une femme aussi, bien entendu !... Un simple OUI, et vous voilà lié pour longtemps !... 
Quand, jeune homme, vous voyez apparaître devant vous celle qui représente le type parfait de la femme exceptionnelle... vous brûlez du désir d’aller demander sa main... Le mariage se présente à vous comme le summum du bonheur!...
Evidemment, il n’y a pas de roses sans épines, me direz-vous... et dans les deux les plus purs de l’hymen le plus tendre, passent parfois certains nuages... Bah ! c'est la vie ! ...Et quand, avrès l’échange de mots parfois aigres-doux, ou quelque bris de vaisselle, on se réconcilie et on passe l’éponge... on est complètement d’accord pour trouver que le mariage est la plus belle des inventions... quitte à changer d'avis au premier virage...
Dans la fantaisie quelle vous présentera, j’imagine que Lise Coliny vous montrera le mariage comme un paradis incomparablement beau. Elle vous le dira, elle vous le chantera... et réussira peut-être à convaincre les hésitants, à convertir les incrédules...
En tout cas, que vous soyez pour ou contre le mariage, soyez à l’écoute mardi 4 octobre prochain et vous apprécierez, une fois de plus tout le charme et le talent de la plus sympathique des « speakerines », Lise Coliny !
MARCEL ANTOINE.","GAI ! MARIONS-NOUS ! UNE FANTAISIE DE LISE COLINY « Mariez-vous donc ! Mariez-vous donc ! C'est si gentil , c’est si bon !... » Ainsi chantait jadis Lejal , le créateur de maints succès ... C'est pour s'efforcer de vous prouver toutes les Joies de la vie conjugale que Lise Coliny a choisi ce thème , pour sa prochaine fantasie ... Le passage devant monsieur le maire , et devant monsieur le curé est une cérémonie qui compte dans la vie d'un homme ... et d’une femme aussi , bien entendu !... Un simple OUI , et vous voilà lié pour longtemps !... Quand , jeune homme , vous voyez apparaître devant vous celle qui représente le type parfait de la femme exceptionnelle ... vous brûlez du désir d’aller demander sa main ... Le mariage se présente à vous comme le summum du bonheur !... Evidemment , il n’y a pas de roses sans épines , me direz-vous ... et dans les deux les plus purs de l’hymen le plus tendre , passent parfois certains nuages ... Bah ! c'est la vie ! ...Et quand , avrès l’échange de mots parfois aigres-doux , ou quelque bris de vaisselle , on se réconcilie et on passe l’éponge ... on est complètement d’accord pour trouver que le mariage est la plus belle des inventions ... quitte à changer d'avis au premier virage ... Dans la fantaisie quelle vous présentera , j’imagine que Lise Coliny vous montrera le mariage comme un paradis incomparablement beau . Elle vous le dira , elle vous le chantera ... et réussira peut-être à convaincre les hésitants , à convertir les incrédules ... En tout cas , que vous soyez pour ou contre le mariage , soyez à l’écoute mardi 4 octobre prochain et vous apprécierez , une fois de plus tout le charme et le talent de la plus sympathique des « speakerines », Lise Coliny ! MARCEL ANTOINE .",Lise Coliny:Q95709380|Lejal:Q3557413|Marcel Antoine:Q124834677,,,Gai! Marions-Nous (une fantaisie de Lise Coliny) (dessin MA)
https://uurl.kbr.be/2045126,BE-KBR00_12126493_19370103_00_00_00_0_01_0001_27601938_article1.txt,Le Radio,12126493,1937-03-01T00:00:00Z,1,1,Radio+Slache,"A Radio-Schaerbeek-Bruxelles...
«Marcel Antoine» fait sa rentrée
Le sympathique speaker de Radio-Schaerbeek-Bruxelles a fait sa rentrée le 1er janvier, après un congé de trios semaines, pris pour des raisons de santé. 
Nous retrouverons avec grand plaisir les nombreux sketches de « Slache » et « Olive » qui refigureront presque tous les jours au programme, vers 13h. 30, etqui faisaient la joie de nombreux auditeurs.","A Radio-Schaerbeek-Bruxelles ... «Marcel Antoine» fait sa rentrée Le sympathique speaker de Radio-Schaerbeek-Bruxelles a fait sa rentrée le 1er janvier , après un congé de trios semaines , pris pour des raisons de santé . Nous retrouverons avec grand plaisir les nombreux sketches de « Slache » et « Olive » qui refigureront presque tous les jours au programme , vers 13h . 30 , etqui faisaient la joie de nombreux auditeurs .",Marcel Antoine:Q124834677,,"Radio-Schaerbeek-Bruxelles","A radio-Schaerbeek-Bruxelles ... Marcel Antoine fait sa rentrée : Le sympathique speaker de radio-Schaerbeek-Bruxelles a fait sa rentrée le 1er janvier, après un congé de trois semaines, pris pour des raisons de santé. Nous retrouverons avec grand plaisir les nombreux sketches de ""Slache"" et ""Olive"" qui refigureront presque tous les jours au programme, vers 13h30 et qui faisaient la joie de nombreux auditeurs.
=> NOTE: ""Slache magazine""
=> Note: placé en bas sous une caricature de Ex de Professeur Plum (article sur Radio-Jeunesse)"
https://uurl.kbr.be/2045525/p4,BE-KBR00_12126493_19390203_00_00_00_0_01_0004_27613488_article2.txt,Le Radio,12126493,1939-03-02T00:00:00Z,4,1,MA-auth/art,"Le Tour du Monde en Chantant
Fantaisie baladeuse de Lise COLINY
En Voiture!!!...
Lise Coliny, toujours très « en train ». vous invite à un bien divertissant voyage... Elle nous conduira un peu partout, à travers le monde et vous permettra d'écouter les chansons de tous les pays ...
Au son des balalaïkas, des guitares, du tam-tam. de l’accordéon, vous en tendrez un boirqu l de refrains savamment choisis pour vous... Pour une demi-heure. Lise Coliny transformera
le studio en une sorte de tour de Babei où, venant des quatre coins du globe, se donneront rendez-vous les vedettes les plus sympathiques et les plus célèbres...
Ne ratez pas cette savoureuse salade musicale, dans laquelle, espérons-le, notre charmante « diseuse » viendra mettre son grain de sel; en nous chantant elle-même l’un ou l autre refrain. Ce que les audi eurs de Radio-Schaerbeek attendent toujours avec une vive
autant que légitime impatience.
M. A.","Le Tour du Monde en Chantant Fantaisie baladeuse de Lise COLINY En Voiture !!!... Lise Coliny , toujours très « en train ». vous invite à un bien divertissant voyage ... Elle nous conduira un peu partout , à travers le monde et vous permettra d'écouter les chansons de tous les pays ... Au son des balalaïkas , des guitares , du tam-tam . de l’accordéon , vous en tendrez un boirqu l de refrains savamment choisis pour vous ... Pour une demi-heure . Lise Coliny transformera le studio en une sorte de tour de Babei où , venant des quatre coins du globe , se donneront rendez-vous les vedettes les plus sympathiques et les plus célèbres ... Ne ratez pas cette savoureuse salade musicale , dans laquelle , espérons-le , notre charmante « diseuse » viendra mettre son grain de sel ; en nous chantant elle-même l’un ou l autre refrain . Ce que les audi eurs de Radio-Schaerbeek attendent toujours avec une vive autant que légitime impatience . M . A .",Lise Coliny:Q95709380|Marcel Antoine:Q124834677,,"Radio-Schaerbeek","Y a d'la Joie ... Chez les Soldats (fantaisie militaire de MA)
Le Tour du Monde en Chantant  En Voiture !!! (fantaisie baladeuse de Lise Coliny)"
https://uurl.kbr.be/2045525/p4,BE-KBR00_12126493_19390203_00_00_00_0_01_0004_27613536_article1.txt,Le Radio,12126493,1939-03-02T00:00:00Z,4,2,MA-auth/art,"Y A D'LA JOIE
... Chez les Soldats
Fantaisie Militaire de Marcel ANTOINE 
A la caserne, on passe de beaux jours... Le plus beau, c'est évidemment le dernier... quand arrive la classe !
Mais, tout de même, au cours du service, on passe de joyeux instants...
Quand on met de côté les théories, Ps corvées, et les appels au pied du lit... il reste de bons moments... Et, plus tard, on se les rappelle avec plaisir...
Mais si on regrette cette belle époque... c’est surtout parce quon avait vingt ans! ...
Dans sa nouvelle fantaisie, Marcel Antoine va, samedi, nous présenter quelques joyeux troupiers... Nous u retrouverons certainement Bach, Ouvrard et Fernande!...
Comme il ne faut jamais perdre une occasion de s’amuser, je vous conseille vivement d’écouter celle présentation pleine de gaîté
Soyez donc à l'écoute... à l'heure militaire ! XXX.","Y A D'LA JOIE ... Chez les Soldats Fantaisie Militaire de Marcel ANTOINE A la caserne , on passe de beaux jours ... Le plus beau , c'est évidemment le dernier ... quand arrive la classe ! Mais , tout de même , au cours du service , on passe de joyeux instants ... Quand on met de côté les théories , Ps corvées , et les appels au pied du lit ... il reste de bons moments ... Et , plus tard , on se les rappelle avec plaisir ... Mais si on regrette cette belle époque ... c’est surtout parce quon avait vingt ans ! ... Dans sa nouvelle fantaisie , Marcel Antoine va , samedi , nous présenter quelques joyeux troupiers ... Nous u retrouverons certainement Bach , Ouvrard et Fernande !... Comme il ne faut jamais perdre une occasion de s’amuser , je vous conseille vivement d’écouter celle présentation pleine de gaîté Soyez donc à l'écoute ... à l'heure militaire ! XXX .",None|Fernandel:Q129092|Marcel Antoine:Q124834677|Ouvrard:Q676595,,"Soldats Fantaisie Militaire","Y a d'la Joie ... Chez les Soldats (fantaisie militaire de MA)
Le Tour du Monde en Chantant  En Voiture !!! (fantaisie baladeuse de Lise Coliny)"
https://uurl.kbr.be/2045533/p4,BE-KBR00_12126493_19390303_00_00_00_0_01_0004_27613876_article1.txt,Le Radio,12126493,1939-03-03T00:00:00Z,4,1,MA-auth/art,"Derrière les Volets
Fantaisie musico-provinciale de Lise COLINY
Un coin de province. Un salle à manger Henri IV, avec des buffets aux sculptures compliquées. Les fauteuils sont recouverts par des housses à fleurs. Dans un coin, un chat noir ronronne... Cela sent la tisane et la naphtaline.... Les volets sont baissés... Il fiat sombre.
Le front sur la vitre de la fenêtre, une femme se penche... Et, à travers les fentes des persiennes, elle regarde la rue... Rien ne lui échappe... Dans le silence et le mystère de son appartement, elle fait ample provision de cancans, de ragots...
Lise Coliny n'est ni vieille fille ni cancanière.... mais elle va, pour vous, récolter les potins de la petite ville, pour vous les servir, en une charmante fantaisie : Dernière les Volets.
Histoire délicieuses, parfois mélancoliques, parfois gaies... mais jamais dramatiques... Car, malgré les « volets », il n'est nullement question de... drame de jalousie.
Et nous pouvons dire, d'avance, que les chansons que vous présentera, ou chantera elle-même Lise Coliny, seront toutes triées... sur le volet. Aussi, un bon conseil; ne manquez pas, mardi, cette fantaisie. 
M. A.","Derrière les Volets Fantaisie musico-provinciale de Lise COLINY Un coin de province . Un salle à manger Henri IV , avec des buffets aux sculptures compliquées . Les fauteuils sont recouverts par des housses à fleurs . Dans un coin , un chat noir ronronne ... Cela sent la tisane et la naphtaline .... Les volets sont baissés ... Il fiat sombre . Le front sur la vitre de la fenêtre , une femme se penche ... Et , à travers les fentes des persiennes , elle regarde la rue ... Rien ne lui échappe ... Dans le silence et le mystère de son appartement , elle fait ample provision de cancans , de ragots ... Lise Coliny n'est ni vieille fille ni cancanière .... mais elle va , pour vous , récolter les potins de la petite ville , pour vous les servir , en une charmante fantaisie : Dernière les Volets . Histoire délicieuses , parfois mélancoliques , parfois gaies ... mais jamais dramatiques ... Car , malgré les « volets », il n'est nullement question de ... drame de jalousie . Et nous pouvons dire , d'avance , que les chansons que vous présentera , ou chantera elle-même Lise Coliny , seront toutes triées ... sur le volet . Aussi , un bon conseil ; ne manquez pas , mardi , cette fantaisie . M . A .",Lise Coliny:Q95709380|Marcel Antoine:Q124834677,,,Derrière les Volets - Fantaisie misico-provinciale de Lise Coliny (texte + dessin MA)
https://uurl.kbr.be/2045533/p4,BE-KBR00_12126493_19390303_00_00_00_0_01_0004_27613924_article2.txt,Le Radio,12126493,1939-03-03T00:00:00Z,4,2,MA-auth/art,"SELECTION
LUNDI 6 MARS
A 13 h. 20 : Les aventures de Slache, par Marcel ANTOINE.
MARDI 7 MARS
A 16 h. : « Derrière les volets... ». fantaisie musicale par Lise COLINY.
JEUDI 9 MARS
A 13 h. 20 : Les aventures de Slache, par Marcel ANTOINE.
SAMEDI 11 MARS
A 14 h. : Les aventures de Slache, par Marcel ANTOINE.","SELECTION LUNDI 6 MARS A 13 h . 20 : Les aventures de Slache , par Marcel ANTOINE . MARDI 7 MARS A 16 h . : « Derrière les volets ... ». fantaisie musicale par Lise COLINY . JEUDI 9 MARS A 13 h . 20 : Les aventures de Slache , par Marcel ANTOINE . SAMEDI 11 MARS A 14 h . : Les aventures de Slache , par Marcel ANTOINE .",Lise Coliny:Q95709380|Marcel Antoine:Q124834677,,,Derrière les Volets - Fantaisie misico-provinciale de Lise Coliny (texte + dessin MA)
https://uurl.kbr.be/2045463/p4,BE-KBR00_12126493_19380703_00_00_00_0_01_0004_27610481_article3.txt,Le Radio,12126493,1938-03-07T00:00:00Z,4,1,MA-auth/art,"(cartoon)
Marcel Antoine",(cartoon) Marcel Antoine,Marcel Antoine:Q124834677,,,"Cartoon MA ""Chants et danses d'Italie"""
