filename,preprocessed_text,people,places
BE-KBR00_12126493_19340520_00_00_00_0_01_0001_27575972_article1.txt,photo e delhaes le speaker humoristique marcel antoine,"['delhaes', 'marcel antoine']",[]
BE-KBR00_12126493_19340520_00_00_00_0_01_0001_27575972_article2.txt,programme 13 heures  concert de gala présenté par marcel antoine à loccasion de la septième année de radioschaerbeekbruxelles donné avec le concours du grand orchestre symphonique de la station de m georges villiers baryton de lopêragomlque de m paginrani ténor et des duettistes pills et tabet marche jubilaire aug de boeck  souvenir de spa polka concertante pour petite flûte soliste maurice gilman  la bohème puceint et santa lucia lontano capua par m pagllarani ténor une fête à aranjuez ouverture demersseman  impressions rustiques  paysannerie près de la vieille chapelle et kermesse aux lanternes razigade m georges villiers baryton de lopéracomique sélection sur chanson damour schubert  zigeunerweisen sarasate violon solo  m rsrt kin martha flotow et oh mari di capua par m pagliarani fantaisie sur les pêcheurs de perles bizet  m georges villiers baryton huldingsmarch grieg chanson indouc r korsakow  paillasse léoncavallo m rigoletto verdi par pagliarani  berceuse de jocelyn godard lafricaine march meyerbeer,"['santa lucia', 'de lopéracomique', 'huldingsmarch grieg', 'rigoletto verdi', 'maurice gilman  la bohème puceint', 'tabet', 'marcel antoine', 'rsrt kin martha flotow', 'georges villiers', 'pagliarani', 'jocelyn godard lafricaine march', 'aug de boeck']","['lanternes razigade', 'aranjuez']"
BE-KBR00_12126493_19340708_00_00_00_0_01_0024_27577865_article1.txt,un prince des humoristes marcel antoine le sympathique speaker de radioschaerbeekbruxelles a été élu par ses pairs  prince des humoristes  au banquet de clôture du salon de la mine souriante,['marcel antoine'],[]
BE-KBR00_12126493_19340909_00_00_00_0_01_0002_27578868_article1.txt,radio qui rit au hasard du vie salon portrait de speaker jerrais au salon les poches bourrées de publicité loreille un peu  escagassée  par moul superhétérodynes la pensée  je lavoue  indécise en quête dun motif radiophonique or au coin dun stand je heurtai la bedaine confortable de mon propre rédacteur en chef je me mis au gardeàvous il me demanda   ça va  rassurezvous ce paternel  ça va   ne sadressait pas à ma petite santé mais bien au  papier  que je suis censé ruminer à tous les instants de la journée  suivezmoi  poursuivitil  je vais vous présenter à une personnalité bruxelloise  m adolphe mar est guéri  minformaije avec un petit air entendu cherchant en vain un fox à poil dur je veux parler du chien de notre populaire bourgmestre  il ne sagit de notre maïeur mon ami mais de notre speaker national marcel antoine fautil lavouer  je ne connaissais du célèbre humoriste que sa voix cette voix pour moi sang visage qui charme nos loisirs quotidiens les présentations furent brèves   monsieur  monsieur comme au tennis  play  ready  mais au bar quelques demis rompirent la glace les photographies sont quelque peu trompeuses tranquillisezvous mesdames  la photogénie de marcel antoine ne redoute pas la crudité du grand jour pour lensemble du visage reportezvous au masque de reginald denny lacteur américain bien connu la lèvre inférieure quand elle est mise en action par un sourire est quelque peu  maurice chevalier  et découvre une double rangée de dents rigoureusement symétriques très  soldats de bois  le cheveu clair plutôt blond cendré ondulé et rejeté en arrière nest pas sans offrir quelque analogie avec la physionomie capillaire du jeune jeanpierre aumont autre vedette cinégraphique agitez ce cocktail vous obtenez marcel antoine le tout pourvu dune paire de lunettes décaille quil ajuste machinalement au cours de la çonversation du geste que doit ébaucher paul reboux quand il cesse dobserver son interlocuteur pour le surplus il est dune taille fort audessus de la moyenne epaule large et bien en chair le col ajusté de très près la cravate agrémentée dune perle la pochette évidente le pantalon anglais le geste large amène le shakehand rigoureux le parler auraije loutrecuidance de vous parler du parler  ne seraitce point parler géométrie à euclide syntaxe à abel hermant concours de beauté à maurice de waleffe  vous connaissez aussi bien que moi lorgane phonogénique de  marcel  sa diction parfaite sa volubilité facile à suivre sa phrase un peu chantante aux flexions agréables qui expirent doucement à la façon des tourangeaux qui passent pour parler le français le plus pur en bref lhomme correspond à la voix et derrière les bésicles modernes les yeux vifs absolument jeunes observent cherchent et trouvent une idée amusante un sujet de dessin une légende drôle deux rimes imprévues un calembour impossible au premier bock le coeur me battait un peu jétais curieux tel un communiant qui vient de recevoir en cadeau une superbe montre jinterrogeai   comment faitesvous pour imiter si parfaitement notre  ritche  national qui fait les beaux soirs de mon village   mais comme ceci et réellement je crus voir  ritche  surgir entre nous deux  garçon la même chose  disje émerveillé jajoutai  et ces cris danimaux etces gazettes rimées et ces chroniques spirituelles et ces calembours de choix et ces enhchaînements publicitaires et ces annonces radiophoniques et surtout cette multiplicité de dessins humoristiques qui vont de la perle 28 à la mine souriante  et la mine souriante le sympathique speaker mavoua   en cherchant en travaillant en observant  en écoutant en lisant en regardant vivre la vie on approchait de dixhuit heures six coups tombèrent de quelque part un admirateur vint solliciter un autographe de marcel antoine qui dun stylographe au préalable éprouvé dans le cendrier se prêta complaisamment à cette douce exigence de la célébrité jétais ravi ravi que cette voix si reconnaissable qui appartient au public sadressât au seul public que je formai et je men vis aussi honoré que le citoyen en audience chez le président de la république mais les appareils disparaissaient sous les housses les hautparleurs distribuaient force musique on fermait la radio à linstar du cinéma se verra un jour élevée au rang de huitième art la radio belge se devra de retenir dans ses annale auditives le nom de marcel antoine il nous plaît de rendre ici même un amical hommage à ce bon artisan de la radiophonie rené chassart,"['jeanpierre aumont', 'abel hermant concours de beauté', 'maurice de waleffe', 'rené chassart', 'reginald denny lacteur américain', 'décaille quil', 'rassurezvous', 'marcel antoine', 'paul reboux', 'maurice chevalier', 'marcel', 'adolphe mar', 'euclide', 'fox', 'speaker jerrais']","['shakehand', 'seraitce']"
BE-KBR00_12126493_19341223_00_00_00_0_01_0001_27580306_article1.txt,les sunkists chanteurs danseurs et guitaristes hawaïens que vous entendrez lundi 24 décembre à radioschaerbeekbruxelles,[],[]
BE-KBR00_12126493_19351229_00_00_00_0_01_0003_27591745_article1.txt,le speaker mes chers auditeurs les fleurs que je vous offre à loccasion du nouvel an seront jen suis persuadé recues avec joie marcel antoine,['marcel antoine'],[]
BE-KBR00_12126493_19361018_00_00_00_0_01_0003_27598221_article1.txt,a lécoute un type radiophonique jules slache notre confère robert bebronne consacre dans ses  propos radiophoniques  hebdomadaires de  cassandre  une chronique sur jules slache type radiophonique dons picture marcel antoine le créateur est lamusant speaker de radioschaerbeek marcel antoine nous pensons que nos lecteurs qui sont également les auditeurs du poste bruxellois liront cette chronique avec beaucoup de plaisir  connaissezvous bicard dit le bouif eh bien jules siache est une espèce de bouif bruxellois qui appartient non pas à la littérature mais à léther et dont le père spirituel dans les deux sens du mot est le radioschaerbeekois marcel antoine un personnage radiophonique un  type  participant dune fiction toujours renouvelée et que lon reconnaît invariablement dès les premières paroles quil prononce au micro  la chose nest pas si banale convenezen ce qui nest pas banal non plus cest la façon dont marcel antoine fait intervenir son bonhomme il y a un trio composé du speaker avec sa voix naturelle dun nommé olive dont lorgane est impressionnant et dont laccent fleure la bouillabaisse de slache enfin qui a une petite voix comique et craintive et qui avec des ouye ouye et des vous savez prolonge la plus pure tradition de nos  ketches  autochtones jules siache na pas lassurance que le bouif puise dans le gros rouge et le pernod slache ne boit que de la gueuze et nen profite pas un seul instant pour prendre des airs de malin ou de matamore le matamore du reste cest olive et le speaker nest là que pour apaiser leurs querelles ou tirer la moralité de leurs sketches fautil ajouter que le speaker olive et siache ne sont que trois têtes sous un même bonnet trois voix différentes dans une même bouche marcel antoine cest quelque chose révérence parler comme une saintetrinité radiophonique je ne sais pas si tout le monde aime slache mais pour ma part je nhésite pas à avouer que je ladore cela tient sans doute à son organe qui évoque dans limprécis de léther un être faiblard et funambulesque à la charlôt nestce pas lui qui a révélé une sensibilité si attachante un don de poésie si neuf et si inattendu dans le morceau qui porte ce titre baraquement éloquent  schele mie slache parle  bruxellois  bien sûr  et la chose en ellemême nest pas antipathique  mais il napporte aucune insistance à cet aspect marollien de sa personnalité on lui reprocherait plutôt de forger des calembours dont laudition doit être formellement interdite aux personnes atteintes dune maladie de cœur bicard aussi fait des jeux de mots et slache on la dit est son frère belge h faut croire que lintempérance  gueuze ou pernod  ne fait pas seulement voir en double les gens et les choses mais aussi le sens des vocables que siache boive moins et quil nous soit présenté dans des saynètes plus poussées il nàurait aucune peine à remporter les suffrages de lélite outre ceux de la foule jules siache est un type original de la radio belge nous exigeons de marcel antoine quil lentoure des soins les plus affectueusement paternels,"['jules siache', 'marcel antoine quil lentoure', 'connaissezvous bicard', 'lon', 'schele mie slache', 'limprécis de léther', 'léther', 'marcel antoine', 'pernod', 'ladore', 'robert bebronne', 'marcel antoine cest', 'matamore le matamore', 'bouif bruxellois', 'jules siache na pas lassurance', 'jules slache']","['siache', 'bouif', 'charlôt nestce']"
BE-KBR00_12126493_19361213_00_00_00_0_01_0017_27601663_article1.txt,13 h 30 radioschaerbeek   slachemagazine  de marcel antoine,['marcel antoine'],['slachemagazine']
BE-KBR00_12126493_19370103_00_00_00_0_01_0001_27601938_article1.txt,a radioschaerbeekbruxelles marcel antoine fait sa rentrée le sympathique speaker de radioschaerbeekbruxelles a fait sa rentrée le 1er janvier après un congé de trios semaines pris pour des raisons de santé nous retrouverons avec grand plaisir les nombreux sketches de  slache  et  olive  qui refigureront presque tous les jours au programme vers 13h 30 etqui faisaient la joie de nombreux auditeurs,['marcel antoine'],[]
BE-KBR00_12126493_19370418_00_00_00_0_01_0024_27604438_article1.txt,dans les ordres nationaux marcel antoine marcel antoine le sympathique speaker de radioschaerbeekbruxelles vient dêtre décoré des palmes dor de lordre de la couronne comme fondateur de la  mine souriante  picture marcel antoine voilà certes une récompense qui réjouira les nombreux admiraterus du créateur de  slache  type radiophonique qui fait la joie des auditeurs elle honorera en même temps notre excellent ami qui est également un fin humoriste un excellent dessinateur et de plus est un homme charmant nous lui adressons nos plus vives félicitations p v,"['marcel antoine marcel antoine', 'marcel antoine', 'dor de lordre de la couronne', 'p v']",[]
